"Time","spgwu2","spgwu"
2022-07-25 22:26:45,70.0,69.2
2022-07-25 22:27:00,81.3,74.3
2022-07-25 22:27:15,81.3,74.3
2022-07-25 22:27:30,70.4,74.5
2022-07-25 22:27:45,70.4,74.5
2022-07-25 22:28:00,92.9,88.4
2022-07-25 22:28:15,92.9,88.4
2022-07-25 22:28:30,90.5,97.6
2022-07-25 22:28:45,90.5,97.6
2022-07-25 22:29:00,133,82.8
2022-07-25 22:29:15,133,82.8
2022-07-25 22:29:30,126,145
2022-07-25 22:29:45,126,145
2022-07-25 22:30:00,155,170
2022-07-25 22:30:15,155,170
2022-07-25 22:30:30,202,109
2022-07-25 22:30:45,202,110
2022-07-25 22:31:00,221,250
2022-07-25 22:31:15,221,250
2022-07-25 22:31:30,208,184
2022-07-25 22:31:45,208,184
2022-07-25 22:32:00,149,297
2022-07-25 22:32:15,149,297
2022-07-25 22:32:30,247,303
2022-07-25 22:32:45,247,303
2022-07-25 22:33:00,275,149
2022-07-25 22:33:15,275,149
2022-07-25 22:33:30,265,293
2022-07-25 22:33:45,265,293
2022-07-25 22:34:00,273,217
2022-07-25 22:34:15,273,217
2022-07-25 22:34:30,188,262
2022-07-25 22:34:45,188,262
2022-07-25 22:35:00,266,291
2022-07-25 22:35:15,266,291
2022-07-25 22:35:30,245,128
2022-07-25 22:35:45,245,128
2022-07-25 22:36:00,228,274
2022-07-25 22:36:15,228,274
2022-07-25 22:36:30,258,261
2022-07-25 22:36:45,258,261
2022-07-25 22:37:00,284,309
2022-07-25 22:37:15,284,309
2022-07-25 22:37:30,249,245
2022-07-25 22:37:45,249,245
2022-07-25 22:38:00,250,276
2022-07-25 22:38:15,250,276
2022-07-25 22:38:30,301,286
2022-07-25 22:38:45,301,286
2022-07-25 22:39:00,252,245
2022-07-25 22:39:15,252,245
2022-07-25 22:39:30,250,272
2022-07-25 22:39:45,250,272
2022-07-25 22:40:00,245,159
2022-07-25 22:40:15,245,159
2022-07-25 22:40:30,283,249
2022-07-25 22:40:45,283,249
2022-07-25 22:41:00,247,252
2022-07-25 22:41:15,247,252
2022-07-25 22:41:30,232,302
2022-07-25 22:41:45,232,302
2022-07-25 22:42:00,224,192
2022-07-25 22:42:15,224,192
2022-07-25 22:42:30,198,211
2022-07-25 22:42:45,198,211
2022-07-25 22:43:00,212,233
2022-07-25 22:43:15,212,233
2022-07-25 22:43:30,175,218
2022-07-25 22:43:45,175,218
2022-07-25 22:44:00,119,111
2022-07-25 22:44:15,119,112
2022-07-25 22:44:30,208,203
2022-07-25 22:44:45,208,203
2022-07-25 22:45:00,248,187
2022-07-25 22:45:15,248,187
2022-07-25 22:45:30,185,203
2022-07-25 22:45:45,185,204
2022-07-25 22:46:00,130,140
2022-07-25 22:46:15,130,140
2022-07-25 22:46:30,84.3,117
2022-07-25 22:46:45,84.3,117
2022-07-25 22:47:00,138,141
2022-07-25 22:47:15,138,141
