"Time","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod04820779-9447-4d53-a7a3-da3d6244a882/a124adbc6c520567adfe77ba77ca8b846d61e6cd538fb91936378527d072a3cb"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu3-5fd5bb6d57-nn4mk_oai_04820779-9447-4d53-a7a3-da3d6244a882_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu3-5fd5bb6d57-nn4mk"", service=""kubelet""}"
2022-07-24 18:28:30,50.1
2022-07-24 18:28:45,31.4
2022-07-24 18:29:00,31.4
2022-07-24 18:29:15,48.4
2022-07-24 18:29:30,48.4
2022-07-24 18:29:45,60.2
2022-07-24 18:30:00,60.2
2022-07-24 18:30:15,31.3
2022-07-24 18:30:30,31.3
2022-07-24 18:30:45,72.1
2022-07-24 18:31:00,72.1
2022-07-24 18:31:15,20.5
2022-07-24 18:31:30,20.5
2022-07-24 18:31:45,79.7
2022-07-24 18:32:00,79.7
2022-07-24 18:32:15,32.8
2022-07-24 18:32:30,32.8
2022-07-24 18:32:45,64
2022-07-24 18:33:00,64
2022-07-24 18:33:15,64.9
2022-07-24 18:33:30,64.9
2022-07-24 18:33:45,54.6
2022-07-24 18:34:00,54.6
2022-07-24 18:34:15,33.5
2022-07-24 18:34:30,33.5
2022-07-24 18:34:45,62.7
2022-07-24 18:35:00,62.7
2022-07-24 18:35:15,55.4
2022-07-24 18:35:30,55.4
2022-07-24 18:35:45,59
2022-07-24 18:36:00,59
2022-07-24 18:36:15,64.5
2022-07-24 18:36:30,64.5
2022-07-24 18:36:45,56.5
2022-07-24 18:37:00,56.5
2022-07-24 18:37:15,90.8
2022-07-24 18:37:30,90.8
2022-07-24 18:37:45,69.6
2022-07-24 18:38:00,69.6
2022-07-24 18:38:15,64.5
2022-07-24 18:38:30,64.5
2022-07-24 18:38:45,39.3
2022-07-24 18:39:00,39.3
2022-07-24 18:39:15,87.1
2022-07-24 18:39:30,87.1
2022-07-24 18:39:45,71.3
2022-07-24 18:40:00,71.3
2022-07-24 18:40:15,50.2
2022-07-24 18:40:30,50.2
2022-07-24 18:40:45,79
2022-07-24 18:41:00,79
2022-07-24 18:41:15,79.9
2022-07-24 18:41:30,79.9
2022-07-24 18:41:45,38
2022-07-24 18:42:00,38
2022-07-24 18:42:15,61.7
2022-07-24 18:42:30,61.7
2022-07-24 18:42:45,87.4
2022-07-24 18:43:00,87.4
2022-07-24 18:43:15,46.3
2022-07-24 18:43:30,46.3
2022-07-24 18:43:45,26.9
2022-07-24 18:44:00,26.9
2022-07-24 18:44:15,45.3
2022-07-24 18:44:30,45.3
2022-07-24 18:44:45,48.1
2022-07-24 18:45:00,48.1
2022-07-24 18:45:15,42.6
2022-07-24 18:45:30,42.6
2022-07-24 18:45:45,35.0
2022-07-24 18:46:00,35.0
2022-07-24 18:46:15,32.5
2022-07-24 18:46:30,32.5
2022-07-24 18:46:45,32.6
2022-07-24 18:47:00,32.6
2022-07-24 18:47:15,30.6
2022-07-24 18:47:30,30.6
2022-07-24 18:47:45,38.8
2022-07-24 18:48:00,38.8
2022-07-24 18:48:15,24.0
2022-07-24 18:48:30,24.0
2022-07-24 18:48:45,28.4
2022-07-24 18:49:00,28.4
2022-07-24 18:49:15,26.2
2022-07-24 18:49:30,26.2
2022-07-24 18:49:45,30.8
2022-07-24 18:50:00,30.8
2022-07-24 18:50:15,40.9
2022-07-24 18:50:30,40.9
2022-07-24 18:50:45,17.6
2022-07-24 18:51:00,17.6
2022-07-24 18:51:15,46.6
2022-07-24 18:51:30,46.6
2022-07-24 18:51:45,40.2
2022-07-24 18:52:00,40.2
2022-07-24 18:52:15,61.7
2022-07-24 18:52:30,61.7
2022-07-24 18:52:45,61.8
2022-07-24 18:53:00,61.8
2022-07-24 18:53:15,73.1
2022-07-24 18:53:30,73.1
2022-07-24 18:53:45,78.7
2022-07-24 18:54:00,78.7
2022-07-24 18:54:15,101
2022-07-24 18:54:30,101
2022-07-24 18:54:45,111
2022-07-24 18:55:00,111
2022-07-24 18:55:15,78.3
2022-07-24 18:55:30,78.3
2022-07-24 18:55:45,98.6
2022-07-24 18:56:00,98.6
2022-07-24 18:56:15,105
2022-07-24 18:56:30,105
2022-07-24 18:56:45,58.5
2022-07-24 18:57:00,58.5
2022-07-24 18:57:15,81.5
2022-07-24 18:57:30,81.5
2022-07-24 18:57:45,153
2022-07-24 18:58:00,153
2022-07-24 18:58:15,77.7
2022-07-24 18:58:30,77.7
2022-07-24 18:58:45,115
2022-07-24 18:59:00,115
2022-07-24 18:59:15,114
2022-07-24 18:59:30,114
2022-07-24 18:59:45,109
2022-07-24 19:00:00,109
2022-07-24 19:00:15,60.0
2022-07-24 19:00:30,60.0
2022-07-24 19:00:45,110
2022-07-24 19:01:00,110
2022-07-24 19:01:15,107
2022-07-24 19:01:30,107
2022-07-24 19:01:45,81.7
2022-07-24 19:02:00,81.7
2022-07-24 19:02:15,132
2022-07-24 19:02:30,132
2022-07-24 19:02:45,114
2022-07-24 19:03:00,114
2022-07-24 19:03:15,97.1
2022-07-24 19:03:30,97.1
2022-07-24 19:03:45,104
2022-07-24 19:04:00,104
2022-07-24 19:04:15,103
2022-07-24 19:04:30,103
2022-07-24 19:04:45,74.9
2022-07-24 19:05:00,74.9
2022-07-24 19:05:15,91.2
2022-07-24 19:05:30,91.2
2022-07-24 19:05:45,73
2022-07-24 19:06:00,73
2022-07-24 19:06:15,73.7
2022-07-24 19:06:30,73.7
2022-07-24 19:06:45,70.0
2022-07-24 19:07:00,70.0
2022-07-24 19:07:15,75.2
2022-07-24 19:07:30,75.2
2022-07-24 19:07:45,86.0
2022-07-24 19:08:00,86.0
2022-07-24 19:08:15,79.0
2022-07-24 19:08:30,79.0
2022-07-24 19:08:45,46.8
2022-07-24 19:09:00,46.8
2022-07-24 19:09:15,58.8
2022-07-24 19:09:30,58.8
2022-07-24 19:09:45,45.0
2022-07-24 19:10:00,45.0
2022-07-24 19:10:15,42.7
2022-07-24 19:10:30,42.7
2022-07-24 19:10:45,40
2022-07-24 19:11:00,40
2022-07-24 19:11:15,47.6
2022-07-24 19:11:30,47.6
2022-07-24 19:11:45,15.5
2022-07-24 19:12:00,15.5
2022-07-24 19:12:15,37.4
2022-07-24 19:12:30,37.4
2022-07-24 19:12:45,32.5
2022-07-24 19:13:00,32.5
2022-07-24 19:13:15,36.9
2022-07-24 19:13:30,36.9
2022-07-24 19:13:45,36.0
2022-07-24 19:14:00,36.0
2022-07-24 19:14:15,29.3
2022-07-24 19:14:30,29.3
2022-07-24 19:14:45,32.2
2022-07-24 19:15:00,32.2
2022-07-24 19:15:15,40.2
2022-07-24 19:15:30,40.2
2022-07-24 19:15:45,37
2022-07-24 19:16:00,37
