"Time","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod3db28395-2137-47dc-bd8e-65dcd590e8c6/8261f072fdfd0ae72711f0bbb57b458bf58187aa65f6a0608aca56ab18409ea0"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu-5fd5bb6d57-6v648_oai_3db28395-2137-47dc-bd8e-65dcd590e8c6_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu-5fd5bb6d57-6v648"", service=""kubelet""}"
2022-07-23 18:18:45,236
2022-07-23 18:19:00,159
2022-07-23 18:19:15,159
2022-07-23 18:19:30,104
2022-07-23 18:19:45,104
2022-07-23 18:20:00,201
2022-07-23 18:20:15,201
2022-07-23 18:20:30,202
2022-07-23 18:20:45,202
2022-07-23 18:21:00,221
2022-07-23 18:21:15,221
2022-07-23 18:21:30,117
2022-07-23 18:21:45,117
2022-07-23 18:22:00,204
2022-07-23 18:22:15,204
2022-07-23 18:22:30,163
2022-07-23 18:22:45,163
2022-07-23 18:23:00,239
2022-07-23 18:23:15,239
2022-07-23 18:23:30,149
2022-07-23 18:23:45,149
2022-07-23 18:24:00,157
2022-07-23 18:24:15,157
2022-07-23 18:24:30,228
2022-07-23 18:24:45,228
2022-07-23 18:25:00,85.3
2022-07-23 18:25:15,85.3
2022-07-23 18:25:30,174
2022-07-23 18:25:45,174
2022-07-23 18:26:00,164
2022-07-23 18:26:15,164
2022-07-23 18:26:30,176
2022-07-23 18:26:45,176
2022-07-23 18:27:00,161
2022-07-23 18:27:15,161
2022-07-23 18:27:30,222
2022-07-23 18:27:45,222
2022-07-23 18:28:00,130
2022-07-23 18:28:15,130
2022-07-23 18:28:30,122
2022-07-23 18:28:45,122
2022-07-23 18:29:00,149
2022-07-23 18:29:15,149
2022-07-23 18:29:30,138
2022-07-23 18:29:45,138
2022-07-23 18:30:00,122
2022-07-23 18:30:15,122
2022-07-23 18:30:30,119
2022-07-23 18:30:45,119
2022-07-23 18:31:00,131
2022-07-23 18:31:15,131
2022-07-23 18:31:30,141
2022-07-23 18:31:45,141
2022-07-23 18:32:00,138
2022-07-23 18:32:15,138
2022-07-23 18:32:30,40.1
2022-07-23 18:32:45,40.1
2022-07-23 18:33:00,115
2022-07-23 18:33:15,115
2022-07-23 18:33:30,94.6
2022-07-23 18:33:45,94.6
2022-07-23 18:34:00,93.8
2022-07-23 18:34:15,93.8
2022-07-23 18:34:30,75.1
2022-07-23 18:34:45,75.1
2022-07-23 18:35:00,73.8
2022-07-23 18:35:15,73.8
2022-07-23 18:35:30,85.4
2022-07-23 18:35:45,85.4
2022-07-23 18:36:00,56.6
2022-07-23 18:36:15,56.6
2022-07-23 18:36:30,62.4
2022-07-23 18:36:45,62.4
2022-07-23 18:37:00,38.3
2022-07-23 18:37:15,38.3
2022-07-23 18:37:30,70.6
2022-07-23 18:37:45,70.6
2022-07-23 18:38:00,62.5
2022-07-23 18:38:15,62.5
2022-07-23 18:38:30,65.5
2022-07-23 18:38:45,65.5
2022-07-23 18:39:00,38.6
2022-07-23 18:39:15,38.6
2022-07-23 18:39:30,112
2022-07-23 18:39:45,112
2022-07-23 18:40:00,84.3
2022-07-23 18:40:15,84.3
2022-07-23 18:40:30,68.5
2022-07-23 18:40:45,68.5
2022-07-23 18:41:00,148
2022-07-23 18:41:15,148
2022-07-23 18:41:30,137
2022-07-23 18:41:45,137
2022-07-23 18:42:00,156
2022-07-23 18:42:15,156
2022-07-23 18:42:30,150
2022-07-23 18:42:45,150
2022-07-23 18:43:00,144
2022-07-23 18:43:15,144
2022-07-23 18:43:30,148
2022-07-23 18:43:45,148
2022-07-23 18:44:00,186
2022-07-23 18:44:15,186
2022-07-23 18:44:30,187
2022-07-23 18:44:45,187
2022-07-23 18:45:00,158
2022-07-23 18:45:15,158
2022-07-23 18:45:30,149
2022-07-23 18:45:45,149
2022-07-23 18:46:00,213
2022-07-23 18:46:15,213
2022-07-23 18:46:30,153
2022-07-23 18:46:45,154
2022-07-23 18:47:00,182
2022-07-23 18:47:15,182
2022-07-23 18:47:30,197
2022-07-23 18:47:45,197
2022-07-23 18:48:00,177
2022-07-23 18:48:15,177
2022-07-23 18:48:30,97.4
2022-07-23 18:48:45,97.4
2022-07-23 18:49:00,219
2022-07-23 18:49:15,219
2022-07-23 18:49:30,67.6
2022-07-23 18:49:45,67.6
2022-07-23 18:50:00,212
2022-07-23 18:50:15,212
2022-07-23 18:50:30,189
2022-07-23 18:50:45,189
2022-07-23 18:51:00,206
2022-07-23 18:51:15,206
2022-07-23 18:51:30,184
2022-07-23 18:51:45,184
2022-07-23 18:52:00,180
2022-07-23 18:52:15,180
2022-07-23 18:52:30,108
2022-07-23 18:52:45,108
2022-07-23 18:53:00,134
2022-07-23 18:53:15,134
2022-07-23 18:53:30,146
2022-07-23 18:53:45,146
2022-07-23 18:54:00,135
2022-07-23 18:54:15,135
2022-07-23 18:54:30,134
2022-07-23 18:54:45,134
2022-07-23 18:55:00,147
2022-07-23 18:55:15,147
2022-07-23 18:55:30,108
2022-07-23 18:55:45,108
2022-07-23 18:56:00,124
2022-07-23 18:56:15,124
2022-07-23 18:56:30,107
2022-07-23 18:56:45,107
2022-07-23 18:57:00,83.9
2022-07-23 18:57:15,83.9
2022-07-23 18:57:30,75.8
2022-07-23 18:57:45,75.8
2022-07-23 18:58:00,90.7
2022-07-23 18:58:15,90.7
2022-07-23 18:58:30,77.4
2022-07-23 18:58:45,77.4
2022-07-23 18:59:00,67.5
2022-07-23 18:59:15,67.5
2022-07-23 18:59:30,56.3
2022-07-23 18:59:45,56.3
