"Time","{container=""POD"", endpoint=""https-metrics"", id=""/kubepods/besteffort/pod339c179a-11e8-4db8-a2c4-d436c9660c02/c50bfa066e752765c5a93e2f3995b99bbfdb6b09425ac0293f686d402c64dc9d"", image=""k8s.gcr.io/pause:3.4.1"", instance=""10.0.1.67:10250"", interface=""net2"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""k8s_POD_oai-spgwu2-5fd5bb6d57-xsm8m_oai_339c179a-11e8-4db8-a2c4-d436c9660c02_0"", namespace=""oai"", node=""soc-worker3"", pod=""oai-spgwu2-5fd5bb6d57-xsm8m"", service=""kubelet""}"
2022-07-23 21:18:30,94.1
2022-07-23 21:18:45,94.1
2022-07-23 21:19:00,60.5
2022-07-23 21:19:15,60.5
2022-07-23 21:19:30,45.4
2022-07-23 21:19:45,45.4
2022-07-23 21:20:00,80.9
2022-07-23 21:20:15,80.9
2022-07-23 21:20:30,75.6
2022-07-23 21:20:45,75.6
2022-07-23 21:21:00,84.2
2022-07-23 21:21:15,84.2
2022-07-23 21:21:30,67.9
2022-07-23 21:21:45,67.9
2022-07-23 21:22:00,89.7
2022-07-23 21:22:15,89.7
2022-07-23 21:22:30,58.2
2022-07-23 21:22:45,58.2
2022-07-23 21:23:00,122
2022-07-23 21:23:15,122
2022-07-23 21:23:30,67.0
2022-07-23 21:23:45,67.0
2022-07-23 21:24:00,81.6
2022-07-23 21:24:15,81.6
2022-07-23 21:24:30,90.7
2022-07-23 21:24:45,90.7
2022-07-23 21:25:00,91.0
2022-07-23 21:25:15,91
2022-07-23 21:25:30,67.3
2022-07-23 21:25:45,67.3
2022-07-23 21:26:00,95.9
2022-07-23 21:26:15,95.9
2022-07-23 21:26:30,79.4
2022-07-23 21:26:45,79.4
2022-07-23 21:27:00,92.9
2022-07-23 21:27:15,92.9
2022-07-23 21:27:30,79.1
2022-07-23 21:27:45,79.1
2022-07-23 21:28:00,67.2
2022-07-23 21:28:15,67.2
2022-07-23 21:28:30,54.3
2022-07-23 21:28:45,54.3
2022-07-23 21:29:00,59.7
2022-07-23 21:29:15,59.7
2022-07-23 21:29:30,45.7
2022-07-23 21:29:45,45.7
2022-07-23 21:30:00,68.9
2022-07-23 21:30:15,68.9
2022-07-23 21:30:30,39.3
2022-07-23 21:30:45,39.3
2022-07-23 21:31:00,56.1
2022-07-23 21:31:15,56.1
2022-07-23 21:31:30,31.4
2022-07-23 21:31:45,31.4
2022-07-23 21:32:00,33.8
2022-07-23 21:32:15,33.8
2022-07-23 21:32:30,36.9
2022-07-23 21:32:45,36.9
2022-07-23 21:33:00,42.3
2022-07-23 21:33:15,42.3
2022-07-23 21:33:30,38.8
2022-07-23 21:33:45,38.8
2022-07-23 21:34:00,43.4
2022-07-23 21:34:15,43.4
2022-07-23 21:34:30,20.5
2022-07-23 21:34:45,20.5
2022-07-23 21:35:00,55.0
2022-07-23 21:35:15,55.0
2022-07-23 21:35:30,38.3
2022-07-23 21:35:45,38.3
2022-07-23 21:36:00,42.4
2022-07-23 21:36:15,42.4
2022-07-23 21:36:30,51.7
2022-07-23 21:36:45,51.7
2022-07-23 21:37:00,56.4
2022-07-23 21:37:15,56.4
2022-07-23 21:37:30,62.3
2022-07-23 21:37:45,62.3
2022-07-23 21:38:00,63.4
2022-07-23 21:38:15,63.4
2022-07-23 21:38:30,89.6
2022-07-23 21:38:45,89.6
2022-07-23 21:39:00,110
2022-07-23 21:39:15,110
2022-07-23 21:39:30,136
2022-07-23 21:39:45,136
2022-07-23 21:40:00,117
2022-07-23 21:40:15,117
2022-07-23 21:40:30,130
2022-07-23 21:40:45,130
2022-07-23 21:41:00,77.1
2022-07-23 21:41:15,77.1
2022-07-23 21:41:30,109
2022-07-23 21:41:45,109
2022-07-23 21:42:00,136
2022-07-23 21:42:15,136
2022-07-23 21:42:30,115
2022-07-23 21:42:45,115
2022-07-23 21:43:00,143
2022-07-23 21:43:15,143
2022-07-23 21:43:30,119
2022-07-23 21:43:45,119
2022-07-23 21:44:00,134
2022-07-23 21:44:15,134
2022-07-23 21:44:30,133
2022-07-23 21:44:45,134
2022-07-23 21:45:00,133
2022-07-23 21:45:15,133
2022-07-23 21:45:30,106
2022-07-23 21:45:45,106
2022-07-23 21:46:00,155
2022-07-23 21:46:15,155
2022-07-23 21:46:30,84.4
2022-07-23 21:46:45,84.4
2022-07-23 21:47:00,164
2022-07-23 21:47:15,164
2022-07-23 21:47:30,117
2022-07-23 21:47:45,117
2022-07-23 21:48:00,142
2022-07-23 21:48:15,142
2022-07-23 21:48:30,138
2022-07-23 21:48:45,138
2022-07-23 21:49:00,115
2022-07-23 21:49:15,115
2022-07-23 21:49:30,139
2022-07-23 21:49:45,139
2022-07-23 21:50:00,93.0
2022-07-23 21:50:15,93.0
2022-07-23 21:50:30,106
2022-07-23 21:50:45,106
2022-07-23 21:51:00,101
2022-07-23 21:51:15,102
2022-07-23 21:51:30,118
2022-07-23 21:51:45,119
2022-07-23 21:52:00,60.4
2022-07-23 21:52:15,60.4
2022-07-23 21:52:30,110
2022-07-23 21:52:45,110
2022-07-23 21:53:00,114
2022-07-23 21:53:15,114
2022-07-23 21:53:30,86.4
2022-07-23 21:53:45,86.4
2022-07-23 21:54:00,64.3
2022-07-23 21:54:15,64.3
2022-07-23 21:54:30,65.8
2022-07-23 21:54:45,65.8
2022-07-23 21:55:00,49.0
2022-07-23 21:55:15,49.0
2022-07-23 21:55:30,47.4
2022-07-23 21:55:45,47.4
2022-07-23 21:56:00,40.0
2022-07-23 21:56:15,40
2022-07-23 21:56:30,49.8
2022-07-23 21:56:45,49.8
2022-07-23 21:57:00,46.9
2022-07-23 21:57:15,46.9
2022-07-23 21:57:30,54.7
2022-07-23 21:57:45,54.7
2022-07-23 21:58:00,32.4
2022-07-23 21:58:15,32.4
2022-07-23 21:58:30,38.0
2022-07-23 21:58:45,38.0
2022-07-23 21:59:00,39.8
2022-07-23 21:59:15,39.8
2022-07-23 21:59:30,43.5
2022-07-23 21:59:45,43.5
2022-07-23 22:00:00,54.1
2022-07-23 22:00:15,54.1
2022-07-23 22:00:30,42.0
2022-07-23 22:00:45,42.0
2022-07-23 22:01:00,40.8
2022-07-23 22:01:15,40.8
2022-07-23 22:01:30,87.4
2022-07-23 22:01:45,87.4
2022-07-23 22:02:00,89.7
2022-07-23 22:02:15,89.7
2022-07-23 22:02:30,132
2022-07-23 22:02:45,132
2022-07-23 22:03:00,120
2022-07-23 22:03:15,120
2022-07-23 22:03:30,154
2022-07-23 22:03:45,154
2022-07-23 22:04:00,120
2022-07-23 22:04:15,120
2022-07-23 22:04:30,116
